transaction_id,customer_id,product_id,order_date,order_value,payment_method,device_type,discount_applied,shipping_delay_days,fraud_label
TXN0000001,CUST020953,PROD00229,2019-02-21,753.08,Debit Card,Mobile,0.19,4,0
TXN0000002,CUST003359,PROD01386,2023-02-25,9.27,Credit Card,Tablet,0.48,8,0
TXN0000003,CUST000977,PROD00192,2020-03-23,393.11,Crypto,Tablet,0.37,3,1
TXN0000004,CUST006516,PROD01467,2022-08-23,121.83,UPI,Mobile,0.3,8,0
TXN0000005,CUST009116,PROD01658,2023-11-16,826.59,Debit Card,Tablet,0.08,0,0
TXN0000006,CUST009106,PROD00319,2020-03-16,387.95,Credit Card,Mobile,0.08,5,0
TXN0000007,CUST011764,PROD01736,2020-12-05,368.91,PayPal,Mobile,0.03,9,0
TXN0000008,CUST017572,PROD00256,2024-06-15,326.06,Credit Card,Tablet,0.43,6,0
TXN0000009,CUST020600,PROD01267,2023-12-19,123.66,Crypto,Mobile,0.3,5,0
TXN0000010,CUST001502,PROD01355,2020-04-11,498.25,Credit Card,Mobile,0.35,4,0
TXN0000011,CUST012456,PROD00570,2021-07-17,217.76,PayPal,Mobile,0.01,10,0
TXN0000012,CUST006866,PROD01373,2020-06-30,477.19,Credit Card,Tablet,0.48,10,0
TXN0000013,CUST017503,PROD01494,2020-05-16,335.08,UPI,Desktop,0.42,2,0
TXN0000014,CUST020972,PROD01410,2022-02-14,572.06,PayPal,Mobile,0.11,3,0
TXN0000015,CUST001052,PROD01649,2020-10-08,723.42,PayPal,Mobile,0.09,6,0
TXN0000016,CUST018586,PROD01795,2023-01-10,240.73,Debit Card,Tablet,0.09,5,0
TXN0000017,CUST021065,PROD00940,2019-10-20,14.48,Debit Card,Mobile,0.15,4,0
TXN0000018,CUST017662,PROD00539,2023-03-10,248.89,UPI,Tablet,0.26,9,0
TXN0000019,CUST007187,PROD00284,2021-11-09,465.98,Credit Card,Mobile,0.22,7,0
TXN0000020,CUST005009,PROD01286,2019-11-24,69.21,UPI,Tablet,0.15,10,0
TXN0000021,CUST012505,PROD01221,2021-08-16,353.49,PayPal,Tablet,0.31,8,0
TXN0000022,CUST000377,PROD01394,2023-01-16,287.57,Crypto,Desktop,0.07,1,0
TXN0000023,CUST011147,PROD00229,2020-08-24,790.27,Debit Card,Desktop,0.15,6,1
TXN0000024,CUST023662,PROD01794,2023-01-13,198.52,Crypto,Mobile,0.18,4,0
TXN0000025,CUST003487,PROD01783,2022-07-04,14.73,Crypto,Tablet,0.23,4,0
TXN0000026,CUST012253,PROD01562,2019-11-27,184.09,Crypto,Mobile,0.39,8,0
TXN0000027,CUST016011,PROD00040,2019-08-18,171.58,PayPal,Mobile,0.1,5,0
TXN0000028,CUST018592,PROD01940,2019-06-11,431.32,UPI,Mobile,0.26,1,0
TXN0000029,CUST017456,PROD01569,2019-09-15,292.65,UPI,Tablet,0.3,2,0
TXN0000030,CUST017291,PROD01787,2022-05-27,836.97,Debit Card,Tablet,0.02,6,0
TXN0000031,CUST022606,PROD00412,2022-12-31,25.19,UPI,Tablet,0.3,4,0
TXN0000032,CUST014356,PROD01843,2021-11-25,583.1,Credit Card,Mobile,0.09,7,0
TXN0000033,CUST011079,PROD00044,2022-04-19,497.79,Debit Card,Tablet,0.03,8,0
TXN0000034,CUST002327,PROD01450,2022-07-16,295.16,Debit Card,Mobile,0.47,0,0
TXN0000035,CUST010828,PROD00146,2021-11-18,365.28,PayPal,Tablet,0.48,3,0
TXN0000036,CUST017670,PROD00271,2023-01-21,590.95,Crypto,Desktop,0.4,9,0
TXN0000037,CUST015499,PROD01654,2021-04-13,638.03,Credit Card,Mobile,0.15,3,0
TXN0000038,CUST011610,PROD00868,2021-04-21,56.11,Credit Card,Tablet,0.05,7,0
TXN0000039,CUST021175,PROD00202,2019-05-05,61.55,PayPal,Mobile,0.34,6,0
TXN0000040,CUST006233,PROD01099,2021-07-07,755.22,UPI,Mobile,0.22,2,0
TXN0000041,CUST008186,PROD01791,2024-03-05,364.33,UPI,Tablet,0.06,1,0
TXN0000042,CUST021370,PROD01108,2023-09-09,53.35,Credit Card,Mobile,0.25,0,0
TXN0000043,CUST015914,PROD00986,2020-03-13,682.2,Credit Card,Mobile,0.02,6,0
TXN0000044,CUST012794,PROD00544,2024-03-12,249.22,PayPal,Desktop,0.45,7,0
TXN0000045,CUST023938,PROD01605,2022-02-12,15.8,UPI,Mobile,0.13,10,0
TXN0000046,CUST007134,PROD01984,2019-04-30,553.63,Crypto,Mobile,0.33,9,0
TXN0000047,CUST001874,PROD00103,2022-04-11,435.72,Crypto,Tablet,0.16,7,0
TXN0000048,CUST016641,PROD00165,2023-10-10,207.93,Credit Card,Tablet,0.26,2,0
TXN0000049,CUST007708,PROD00827,2019-09-03,94.32,Debit Card,Tablet,0.27,9,0
TXN0000050,CUST020296,PROD00168,2021-05-08,489.96,Crypto,Tablet,0.09,10,0
TXN0000051,CUST008545,PROD00419,2022-10-03,357.31,Debit Card,Desktop,0.48,5,0
TXN0000052,CUST022010,PROD01322,2020-09-06,357.06,PayPal,Mobile,0.39,7,1
TXN0000053,CUST020355,PROD01154,2019-07-24,344.71,Crypto,Mobile,0.47,1,0
TXN0000054,CUST004341,PROD01912,2020-12-15,296.77,Debit Card,Desktop,0.45,1,0
TXN0000055,CUST014359,PROD01708,2022-01-17,647.51,Crypto,Tablet,0.3,4,0
TXN0000056,CUST021885,PROD01674,2022-02-09,463.67,Credit Card,Mobile,0.46,4,0
TXN0000057,CUST003508,PROD01521,2022-02-07,692.7,PayPal,Desktop,0.04,2,0
TXN0000058,CUST023515,PROD00703,2020-02-21,772.1,PayPal,Tablet,0.1,10,0
TXN0000059,CUST001665,PROD00190,2022-07-23,431.48,PayPal,Mobile,0.02,6,1
TXN0000060,CUST004287,PROD01305,2020-06-20,9.53,UPI,Tablet,0.16,2,0
TXN0000061,CUST018380,PROD00020,2019-08-18,162.0,Debit Card,Tablet,0.19,1,0
TXN0000062,CUST012099,PROD01193,2022-02-05,171.3,UPI,Mobile,0.14,2,0
TXN0000063,CUST011949,PROD01842,2024-03-25,272.03,PayPal,Mobile,0.41,0,0
TXN0000064,CUST021855,PROD00211,2020-12-25,586.12,UPI,Tablet,0.18,8,0
TXN0000065,CUST007758,PROD01771,2019-11-29,291.66,UPI,Mobile,0.14,2,0
TXN0000066,CUST010886,PROD01603,2024-03-21,60.2,Debit Card,Desktop,0.27,6,0
TXN0000067,CUST022980,PROD00222,2021-02-22,224.17,UPI,Mobile,0.07,0,0
TXN0000068,CUST015084,PROD00717,2020-09-17,298.04,Debit Card,Mobile,0.4,3,0
TXN0000069,CUST013057,PROD00673,2020-07-24,336.59,PayPal,Desktop,0.04,1,0
TXN0000070,CUST013097,PROD01392,2023-09-24,272.45,PayPal,Mobile,0.49,8,0
TXN0000071,CUST008560,PROD00366,2022-04-04,110.2,Credit Card,Mobile,0.39,4,0
TXN0000072,CUST011328,PROD01493,2023-05-30,379.17,UPI,Tablet,0.1,5,0
TXN0000073,CUST003790,PROD00789,2024-01-17,579.31,Debit Card,Desktop,0.0,9,0
TXN0000074,CUST014289,PROD00004,2021-11-30,418.62,Debit Card,Desktop,0.41,8,0
TXN0000075,CUST021766,PROD01886,2020-11-07,87.24,PayPal,Tablet,0.35,9,0
TXN0000076,CUST023585,PROD01844,2020-09-07,189.56,PayPal,Tablet,0.36,8,0
TXN0000077,CUST013186,PROD01428,2020-08-28,448.77,Debit Card,Mobile,0.39,8,0
TXN0000078,CUST012424,PROD01388,2023-03-13,86.04,Crypto,Tablet,0.04,2,0
TXN0000079,CUST017955,PROD01708,2019-01-01,758.52,PayPal,Mobile,0.18,4,0
TXN0000080,CUST019005,PROD01243,2022-09-02,62.51,UPI,Desktop,0.06,5,0
TXN0000081,CUST007003,PROD01047,2021-08-27,298.59,Credit Card,Desktop,0.43,2,0
TXN0000082,CUST020741,PROD01269,2020-11-17,181.73,Debit Card,Tablet,0.31,1,0
